City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Balkhash,KZ,46.844,74.9804,30.81,80,20,2.24,few clouds
1,Port Alfred,ZA,-33.5906,26.891,67.59,86,85,19.37,light rain
2,Seydi,TM,39.4816,62.9137,47.73,60,28,15.32,scattered clouds
3,Ostrovnoy,RU,68.0531,39.5131,11.12,74,90,23.58,overcast clouds
4,Bluff,NZ,-46.6,168.3333,55.8,56,8,23.47,clear sky
5,Merauke,ID,-8.4667,140.3333,86.41,62,97,8.01,overcast clouds
6,Hermanus,ZA,-34.4187,19.2345,59.9,90,100,7.29,light rain
7,Carnarvon,AU,-24.8667,113.6333,80.67,65,0,19.57,clear sky
8,Morant Bay,JM,17.8815,-76.4093,73.65,84,13,10.45,few clouds
9,Tautira,PF,-17.7333,-149.15,82.42,75,87,17.13,light rain
10,Rikitea,PF,-23.1203,-134.9692,76.73,75,97,7.96,overcast clouds
11,Punta Arenas,CL,-53.15,-70.9167,43.0,75,98,3.76,overcast clouds
12,Kashi,CN,39.4547,75.9797,37.27,27,100,0.74,overcast clouds
13,Tiksi,RU,71.6872,128.8694,-21.69,96,100,8.48,overcast clouds
14,Hauterive,FR,46.0901,3.4459,41.76,98,100,8.66,overcast clouds
15,Hobart,AU,-42.8794,147.3294,75.06,44,75,8.01,broken clouds
16,Ushuaia,AR,-54.8,-68.3,44.26,61,20,23.02,few clouds
17,Comodoro Rivadavia,AR,-45.8667,-67.5,58.41,76,27,5.21,scattered clouds
18,Lazaro Cardenas,MX,17.9583,-102.2,75.87,87,82,4.41,broken clouds
19,Busselton,AU,-33.65,115.3333,76.78,39,26,8.63,scattered clouds
20,Srednekolymsk,RU,67.45,153.6833,-45.0,99,91,4.32,overcast clouds
21,Vaini,TO,-21.2,-175.2,84.36,74,40,10.36,scattered clouds
22,Necochea,AR,-38.5473,-58.7368,52.03,85,0,8.12,clear sky
23,Dingle,PH,10.9995,122.6711,82.76,69,78,11.12,broken clouds
24,Mahebourg,MU,-20.4081,57.7,81.25,74,40,12.66,scattered clouds
25,Coquimbo,CL,-29.9533,-71.3436,58.33,86,64,2.42,broken clouds
26,Lebu,CL,-37.6167,-73.65,55.78,84,1,3.98,clear sky
27,Nome,US,64.5011,-165.4064,30.11,98,100,25.14,light snow
28,Sorland,NO,67.667,12.6934,19.47,64,6,12.73,clear sky
29,Georgetown,MY,5.4112,100.3354,84.15,67,20,8.01,few clouds
30,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,1,13.8,clear sky
31,Torrington,US,41.8007,-73.1212,46.15,74,96,1.99,overcast clouds
32,College,US,64.8569,-147.8028,13.66,84,90,0.0,overcast clouds
33,Smithers,CA,54.7804,-127.1743,20.32,92,100,1.5,light snow
34,Coahuayana,MX,18.7333,-103.6833,73.27,94,100,2.84,overcast clouds
35,Alenquer,BR,-1.9417,-54.7383,74.71,90,63,3.18,broken clouds
36,Kodiak,US,57.79,-152.4072,34.23,93,100,25.17,light rain
37,Plouzane,FR,48.3833,-4.6167,44.65,82,0,5.75,clear sky
38,Balkanabat,TM,39.5108,54.3671,53.51,34,98,4.7,overcast clouds
39,Torbay,CA,47.6666,-52.7314,29.75,79,20,19.57,few clouds
40,Mataura,NZ,-46.1927,168.8643,55.47,47,64,8.66,broken clouds
41,Sakakah,SA,29.9697,40.2064,49.57,57,6,4.09,clear sky
42,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,64,75,11.18,broken clouds
43,Aloleng,PH,16.1307,119.7824,83.17,56,71,7.47,broken clouds
