City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Balkhash,KZ,30.81,few clouds,46.844,74.9804,Family
1,Port Alfred,ZA,67.59,light rain,-33.5906,26.891,The Halyards Hotel
2,Seydi,TM,47.73,scattered clouds,39.4816,62.9137,Seydi oteli
4,Bluff,NZ,55.8,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
6,Hermanus,ZA,59.9,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
7,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
8,Morant Bay,JM,73.65,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
9,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
10,Rikitea,PF,76.73,overcast clouds,-23.1203,-134.9692,People ThankYou
11,Punta Arenas,CL,43.0,overcast clouds,-53.15,-70.9167,Hotel Hain
12,Kashi,CN,37.27,overcast clouds,39.4547,75.9797,帕米尔青年旅舍
14,Hauterive,FR,41.76,overcast clouds,46.0901,3.4459,Aletti Palace Hotel
15,Hobart,AU,75.06,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
16,Ushuaia,AR,44.26,few clouds,-54.8,-68.3,Albatros Hotel
17,Comodoro Rivadavia,AR,58.41,scattered clouds,-45.8667,-67.5,Austral Hotel
18,Lazaro Cardenas,MX,75.87,broken clouds,17.9583,-102.2,quinta antigua
19,Busselton,AU,76.78,scattered clouds,-33.65,115.3333,Observatory Guest House
21,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
22,Necochea,AR,52.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
23,Dingle,PH,82.76,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
24,Mahebourg,MU,81.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
25,Coquimbo,CL,58.33,broken clouds,-29.9533,-71.3436,Punto de encuentro
26,Lebu,CL,55.78,clear sky,-37.6167,-73.65,Hostal Las Lilas
27,Nome,US,30.11,light snow,64.5011,-165.4064,Dredge 7 Inn
28,Sorland,NO,19.47,clear sky,67.667,12.6934,Sjybrygga fiskecamp
29,Georgetown,MY,84.15,few clouds,5.4112,100.3354,Cititel Penang
31,Torrington,US,46.15,overcast clouds,41.8007,-73.1212,The Yankee Pedlar Inn
32,College,US,13.66,overcast clouds,64.8569,-147.8028,Pike's Waterfront Lodge
33,Smithers,CA,20.32,light snow,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
34,Coahuayana,MX,73.27,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
35,Alenquer,BR,74.71,broken clouds,-1.9417,-54.7383,Josilene Castro
36,Kodiak,US,34.23,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
37,Plouzane,FR,44.65,clear sky,48.3833,-4.6167,Lymina
38,Balkanabat,TM,53.51,overcast clouds,39.5108,54.3671,Nebitchi Hotel
39,Torbay,CA,29.75,few clouds,47.6666,-52.7314,Gallows Cove
40,Mataura,NZ,55.47,broken clouds,-46.1927,168.8643,Ellie's Villa
41,Sakakah,SA,49.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
42,Petropavlovsk-Kamchatskiy,RU,28.99,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
43,Aloleng,PH,83.17,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
44,Atuona,PF,78.69,clear sky,-9.8,-139.0333,Villa Enata
45,Anito,PH,78.35,broken clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
46,Tual,ID,83.53,moderate rain,-5.6667,132.75,Grand Vilia Hotel
47,Saldanha,ZA,61.02,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
48,Kruisfontein,ZA,62.89,light rain,-34.0033,24.7314,Oyster Bay House Rental
49,Butaritari,KI,81.55,moderate rain,3.0707,172.7902,Isles Sunset Lodge
50,Fortuna,US,50.36,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
52,Brae,GB,42.71,overcast clouds,60.3964,-1.353,Busta House Hotel
53,Vila Velha,BR,75.15,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
54,Mount Gambier,AU,75.11,few clouds,-37.8333,140.7667,The Commodore
55,Bethel,US,48.47,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
56,Codrington,AU,69.12,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
57,Kollam,IN,85.87,broken clouds,8.8833,76.6,Nani Hotels and Resorts
59,Sioux Lookout,CA,17.98,light snow,50.1001,-91.917,Knobby's Fly-In Camps
61,Jamestown,US,46.71,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
63,Olafsvik,IS,41.0,moderate rain,64.8945,-23.7142,Hotel Olafsvik
64,Manoel Urbano,BR,71.76,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
65,Laguna,US,53.65,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
66,San Patricio,US,75.29,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
67,Arraial Do Cabo,BR,73.53,light rain,-22.9661,-42.0278,Pousada Porto Praia
